record_id,country,emirate,admin_region,city_town,area_name,area_type,parent_area,slug,source_url
UAE-0165,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Ras Al Khor,district,,ras-al-khor-dubai,https://www.dm.gov.ae/
UAE-0166,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Al Quoz 1,district,Al Quoz,al-quoz-1-dubai,https://www.dm.gov.ae/
UAE-0167,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Al Quoz 2,district,Al Quoz,al-quoz-2-dubai,https://www.dm.gov.ae/
UAE-0168,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Al Quoz 3,district,Al Quoz,al-quoz-3-dubai,https://www.dm.gov.ae/
UAE-0169,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Al Quoz 4,district,Al Quoz,al-quoz-4-dubai,https://www.dm.gov.ae/
UAE-0170,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Al Quoz Industrial Area 1,industrial zone,Al Quoz,al-quoz-industrial-area-1-dubai,https://www.dm.gov.ae/
UAE-0171,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Al Quoz Industrial Area 2,industrial zone,Al Quoz,al-quoz-industrial-area-2-dubai,https://www.dm.gov.ae/
UAE-0172,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Al Quoz Industrial Area 3,industrial zone,Al Quoz,al-quoz-industrial-area-3-dubai,https://www.dm.gov.ae/
UAE-0173,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Al Quoz Industrial Area 4,industrial zone,Al Quoz,al-quoz-industrial-area-4-dubai,https://www.dm.gov.ae/
UAE-0174,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Dubai Design District,special district,,dubai-design-district-dubai,https://www.dm.gov.ae/
UAE-0175,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Dubai Silicon Oasis,technology park,,dubai-silicon-oasis-dubai,https://www.dm.gov.ae/
UAE-0176,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Academic City,education district,,academic-city-dubai,https://www.dm.gov.ae/
UAE-0177,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Dubai Festival City,waterfront community,,dubai-festival-city-dubai,https://www.dm.gov.ae/
UAE-0178,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Mirdif,suburban district,,mirdif-dubai,https://www.dm.gov.ae/
UAE-0179,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Nad Al Hamar,district,,nad-al-hamar-dubai,https://www.dm.gov.ae/
UAE-0180,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Muhaisnah 1,district,Muhaisnah,muhaisnah-1-dubai,https://www.dm.gov.ae/
UAE-0181,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Muhaisnah 2,district,Muhaisnah,muhaisnah-2-dubai,https://www.dm.gov.ae/
UAE-0182,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Muhaisnah 3,district,Muhaisnah,muhaisnah-3-dubai,https://www.dm.gov.ae/
UAE-0183,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Muhaisnah 4,district,Muhaisnah,muhaisnah-4-dubai,https://www.dm.gov.ae/
UAE-0184,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Al Qusais 1,district,Al Qusais,al-qusais-1-dubai,https://www.dm.gov.ae/
UAE-0185,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Al Qusais 2,district,Al Qusais,al-qusais-2-dubai,https://www.dm.gov.ae/
UAE-0186,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Al Qusais 3,district,Al Qusais,al-qusais-3-dubai,https://www.dm.gov.ae/
UAE-0187,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Al Qusais Industrial Area 1,industrial zone,Al Qusais,al-qusais-industrial-area-1-dubai,https://www.dm.gov.ae/
UAE-0188,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Al Qusais Industrial Area 2,industrial zone,Al Qusais,al-qusais-industrial-area-2-dubai,https://www.dm.gov.ae/
UAE-0189,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Al Qusais Industrial Area 3,industrial zone,Al Qusais,al-qusais-industrial-area-3-dubai,https://www.dm.gov.ae/
UAE-0190,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Al Twar 1,district,Al Twar,al-twar-1-dubai,https://www.dm.gov.ae/
UAE-0191,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Al Twar 2,district,Al Twar,al-twar-2-dubai,https://www.dm.gov.ae/
UAE-0192,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Al Twar 3,district,Al Twar,al-twar-3-dubai,https://www.dm.gov.ae/
UAE-0193,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Al Twar 4,district,Al Twar,al-twar-4-dubai,https://www.dm.gov.ae/
UAE-0194,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Al Khawaneej 1,district,Al Khawaneej,al-khawaneej-1-dubai,https://www.dm.gov.ae/
UAE-0195,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Al Khawaneej 2,district,Al Khawaneej,al-khawaneej-2-dubai,https://www.dm.gov.ae/
UAE-0196,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Al Mizhar 1,district,Al Mizhar,al-mizhar-1-dubai,https://www.dm.gov.ae/
UAE-0197,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Al Mizhar 2,district,Al Mizhar,al-mizhar-2-dubai,https://www.dm.gov.ae/
UAE-0198,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Al Warqa 1,district,Al Warqa,al-warqa-1-dubai,https://www.dm.gov.ae/
UAE-0199,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Al Warqa 2,district,Al Warqa,al-warqa-2-dubai,https://www.dm.gov.ae/
UAE-0200,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Al Warqa 3,district,Al Warqa,al-warqa-3-dubai,https://www.dm.gov.ae/
UAE-0201,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Al Warqa 4,district,Al Warqa,al-warqa-4-dubai,https://www.dm.gov.ae/
UAE-0202,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Al Warqa 5,district,Al Warqa,al-warqa-5-dubai,https://www.dm.gov.ae/
UAE-0203,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Dubai Investment Park 1,mixed-use district,Dubai Investment Park,dubai-investment-park-1-dubai,https://www.dm.gov.ae/
UAE-0204,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Dubai Investment Park 2,mixed-use district,Dubai Investment Park,dubai-investment-park-2-dubai,https://www.dm.gov.ae/
UAE-0205,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Jebel Ali,port district,,jebel-ali-dubai,https://www.dm.gov.ae/
UAE-0206,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Jebel Ali Village,residential district,Jebel Ali,jebel-ali-village-dubai,https://www.dm.gov.ae/
UAE-0207,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Jebel Ali Free Zone,free zone,Jebel Ali,jebel-ali-free-zone-dubai,https://www.dm.gov.ae/
UAE-0208,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Discovery Gardens,residential community,,discovery-gardens-dubai,https://www.dm.gov.ae/
UAE-0209,United Arab Emirates,Dubai,Dubai Municipality,Dubai,The Gardens,residential community,,the-gardens-dubai,https://www.dm.gov.ae/
UAE-0210,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Al Furjan,residential community,,al-furjan-dubai,https://www.dm.gov.ae/
UAE-0211,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Ibn Battuta District,commercial district,,ibn-battuta-district-dubai,https://www.dm.gov.ae/
UAE-0212,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Dubai South,aerotropolis,,dubai-south-dubai,https://www.dm.gov.ae/
UAE-0213,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Expo City Dubai,special district,Dubai South,expo-city-dubai-dubai,https://www.dm.gov.ae/
UAE-0214,United Arab Emirates,Dubai,Dubai Municipality,Dubai,DAMAC Hills,master community,,damac-hills-dubai,https://www.dm.gov.ae/
UAE-0215,United Arab Emirates,Dubai,Dubai Municipality,Dubai,DAMAC Hills 2,master community,,damac-hills-2-dubai,https://www.dm.gov.ae/
UAE-0216,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Remraam,residential community,,remraam-dubai,https://www.dm.gov.ae/
UAE-0217,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Town Square,master community,,town-square-dubai,https://www.dm.gov.ae/
UAE-0218,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Mudon,villa community,,mudon-dubai,https://www.dm.gov.ae/
UAE-0219,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Mira,villa community,,mira-dubai,https://www.dm.gov.ae/
UAE-0220,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Serena,villa community,,serena-dubai,https://www.dm.gov.ae/
UAE-0221,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Liwan,residential community,,liwan-dubai,https://www.dm.gov.ae/
UAE-0222,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Dubai Land Residence Complex,residential community,,dubai-land-residence-complex-dubai,https://www.dm.gov.ae/
UAE-0223,United Arab Emirates,Dubai,Dubai Municipality,Dubai,The Villa,villa community,,the-villa-dubai,https://www.dm.gov.ae/
UAE-0224,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Villanova,villa community,,villanova-dubai,https://www.dm.gov.ae/
UAE-0225,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Hatta,town,,hatta-dubai,https://www.dm.gov.ae/
UAE-0226,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Dubai Creek Harbour,waterfront community,,dubai-creek-harbour-dubai,https://www.dm.gov.ae/
UAE-0227,United Arab Emirates,Sharjah,Sharjah City Region,Sharjah,Sharjah City,city,,sharjah-city-sharjah,https://www.sharjah.gov.ae/
UAE-0228,United Arab Emirates,Sharjah,Sharjah City Region,Sharjah,Al Majaz 1,district,Al Majaz,al-majaz-1-sharjah,https://www.sharjah.gov.ae/
UAE-0229,United Arab Emirates,Sharjah,Sharjah City Region,Sharjah,Al Majaz 2,district,Al Majaz,al-majaz-2-sharjah,https://www.sharjah.gov.ae/
UAE-0230,United Arab Emirates,Sharjah,Sharjah City Region,Sharjah,Al Majaz 3,district,Al Majaz,al-majaz-3-sharjah,https://www.sharjah.gov.ae/
UAE-0231,United Arab Emirates,Sharjah,Sharjah City Region,Sharjah,Al Khan,district,,al-khan-sharjah,https://www.sharjah.gov.ae/
UAE-0232,United Arab Emirates,Sharjah,Sharjah City Region,Sharjah,Al Nahda,district,,al-nahda-sharjah,https://www.sharjah.gov.ae/
UAE-0233,United Arab Emirates,Sharjah,Sharjah City Region,Sharjah,Al Taawun,district,,al-taawun-sharjah,https://www.sharjah.gov.ae/
UAE-0234,United Arab Emirates,Sharjah,Sharjah City Region,Sharjah,Al Mamzar,district,,al-mamzar-sharjah,https://www.sharjah.gov.ae/
UAE-0235,United Arab Emirates,Sharjah,Sharjah City Region,Sharjah,Al Qasimia,district,,al-qasimia-sharjah,https://www.sharjah.gov.ae/
UAE-0236,United Arab Emirates,Sharjah,Sharjah City Region,Sharjah,Bu Daniq,district,,bu-daniq-sharjah,https://www.sharjah.gov.ae/
UAE-0237,United Arab Emirates,Sharjah,Sharjah City Region,Sharjah,Al Nud,district,,al-nud-sharjah,https://www.sharjah.gov.ae/
UAE-0238,United Arab Emirates,Sharjah,Sharjah City Region,Sharjah,Al Ghuwair,district,,al-ghuwair-sharjah,https://www.sharjah.gov.ae/
UAE-0239,United Arab Emirates,Sharjah,Sharjah City Region,Sharjah,Al Musalla,district,,al-musalla-sharjah,https://www.sharjah.gov.ae/
UAE-0240,United Arab Emirates,Sharjah,Sharjah City Region,Sharjah,Al Yarmook,district,,al-yarmook-sharjah,https://www.sharjah.gov.ae/
UAE-0241,United Arab Emirates,Sharjah,Sharjah City Region,Sharjah,Al Jubail,district,,al-jubail-sharjah,https://www.sharjah.gov.ae/
UAE-0242,United Arab Emirates,Sharjah,Sharjah City Region,Sharjah,Al Soor,district,,al-soor-sharjah,https://www.sharjah.gov.ae/
UAE-0243,United Arab Emirates,Sharjah,Sharjah City Region,Sharjah,Maysaloon,district,,maysaloon-sharjah,https://www.sharjah.gov.ae/
UAE-0244,United Arab Emirates,Sharjah,Sharjah City Region,Sharjah,Rolla,district,,rolla-sharjah,https://www.sharjah.gov.ae/
UAE-0245,United Arab Emirates,Sharjah,Sharjah City Region,Sharjah,Al Nabba,district,,al-nabba-sharjah,https://www.sharjah.gov.ae/
UAE-0246,United Arab Emirates,Sharjah,Sharjah City Region,Sharjah,Al Fisht,district,,al-fisht-sharjah,https://www.sharjah.gov.ae/
UAE-0247,United Arab Emirates,Sharjah,Sharjah City Region,Sharjah,Al Ramla East,district,Al Ramla,al-ramla-east-sharjah,https://www.sharjah.gov.ae/
UAE-0248,United Arab Emirates,Sharjah,Sharjah City Region,Sharjah,Al Ramla West,district,Al Ramla,al-ramla-west-sharjah,https://www.sharjah.gov.ae/
UAE-0249,United Arab Emirates,Sharjah,Sharjah City Region,Sharjah,Al Hazannah,district,,al-hazannah-sharjah,https://www.sharjah.gov.ae/
UAE-0250,United Arab Emirates,Sharjah,Sharjah City Region,Sharjah,Al Jazzat,district,,al-jazzat-sharjah,https://www.sharjah.gov.ae/
UAE-0251,United Arab Emirates,Sharjah,Sharjah City Region,Sharjah,Al Falaj,district,,al-falaj-sharjah,https://www.sharjah.gov.ae/
UAE-0252,United Arab Emirates,Sharjah,Sharjah City Region,Sharjah,Al Fayha,district,,al-fayha-sharjah,https://www.sharjah.gov.ae/
UAE-0253,United Arab Emirates,Sharjah,Sharjah City Region,Sharjah,Al Qulayaa,district,,al-qulayaa-sharjah,https://www.sharjah.gov.ae/
UAE-0254,United Arab Emirates,Sharjah,Sharjah City Region,Sharjah,Al Manakh,district,,al-manakh-sharjah,https://www.sharjah.gov.ae/
UAE-0255,United Arab Emirates,Sharjah,Sharjah City Region,Sharjah,Al Abar,district,,al-abar-sharjah,https://www.sharjah.gov.ae/
UAE-0256,United Arab Emirates,Sharjah,Sharjah City Region,Sharjah,University City,education district,,university-city-sharjah,https://www.sharjah.gov.ae/
UAE-0257,United Arab Emirates,Sharjah,Sharjah City Region,Sharjah,Muwaileh Commercial,district,Muwaileh,muwaileh-commercial-sharjah,https://www.sharjah.gov.ae/
UAE-0258,United Arab Emirates,Sharjah,Sharjah City Region,Sharjah,Muwaileh,district,,muwaileh-sharjah,https://www.sharjah.gov.ae/
UAE-0259,United Arab Emirates,Sharjah,Sharjah City Region,Sharjah,Tilal City,master community,,tilal-city-sharjah,https://www.sharjah.gov.ae/
UAE-0260,United Arab Emirates,Sharjah,Sharjah City Region,Sharjah,Aljada,master community,,aljada-sharjah,https://www.sharjah.gov.ae/
UAE-0261,United Arab Emirates,Sharjah,Sharjah City Region,Sharjah,Al Rahmaniya,district,,al-rahmaniya-sharjah,https://www.sharjah.gov.ae/
UAE-0262,United Arab Emirates,Sharjah,Sharjah City Region,Sharjah,Al Noaf,district,,al-noaf-sharjah,https://www.sharjah.gov.ae/
UAE-0263,United Arab Emirates,Sharjah,Sharjah City Region,Sharjah,Al Suyoh,district,,al-suyoh-sharjah,https://www.sharjah.gov.ae/
UAE-0264,United Arab Emirates,Sharjah,Sharjah City Region,Sharjah,Al Juraina,district,,al-juraina-sharjah,https://www.sharjah.gov.ae/
UAE-0265,United Arab Emirates,Sharjah,Sharjah City Region,Sharjah,Al Zahia,master community,,al-zahia-sharjah,https://www.sharjah.gov.ae/
UAE-0266,United Arab Emirates,Sharjah,Sharjah City Region,Sharjah,Industrial Area 1,industrial zone,Industrial Areas,industrial-area-1-sharjah,https://www.sharjah.gov.ae/
UAE-0267,United Arab Emirates,Sharjah,Sharjah City Region,Sharjah,Industrial Area 2,industrial zone,Industrial Areas,industrial-area-2-sharjah,https://www.sharjah.gov.ae/
UAE-0268,United Arab Emirates,Sharjah,Sharjah City Region,Sharjah,Industrial Area 3,industrial zone,Industrial Areas,industrial-area-3-sharjah,https://www.sharjah.gov.ae/
UAE-0269,United Arab Emirates,Sharjah,Sharjah City Region,Sharjah,Industrial Area 4,industrial zone,Industrial Areas,industrial-area-4-sharjah,https://www.sharjah.gov.ae/
UAE-0270,United Arab Emirates,Sharjah,Sharjah City Region,Sharjah,Industrial Area 5,industrial zone,Industrial Areas,industrial-area-5-sharjah,https://www.sharjah.gov.ae/
UAE-0271,United Arab Emirates,Sharjah,Sharjah City Region,Sharjah,Industrial Area 6,industrial zone,Industrial Areas,industrial-area-6-sharjah,https://www.sharjah.gov.ae/
UAE-0272,United Arab Emirates,Sharjah,Sharjah City Region,Sharjah,Industrial Area 7,industrial zone,Industrial Areas,industrial-area-7-sharjah,https://www.sharjah.gov.ae/
UAE-0273,United Arab Emirates,Sharjah,Sharjah City Region,Sharjah,Industrial Area 8,industrial zone,Industrial Areas,industrial-area-8-sharjah,https://www.sharjah.gov.ae/
UAE-0274,United Arab Emirates,Sharjah,Sharjah City Region,Sharjah,Industrial Area 9,industrial zone,Industrial Areas,industrial-area-9-sharjah,https://www.sharjah.gov.ae/
UAE-0275,United Arab Emirates,Sharjah,Sharjah City Region,Sharjah,Industrial Area 10,industrial zone,Industrial Areas,industrial-area-10-sharjah,https://www.sharjah.gov.ae/
UAE-0276,United Arab Emirates,Sharjah,Sharjah City Region,Sharjah,Industrial Area 11,industrial zone,Industrial Areas,industrial-area-11-sharjah,https://www.sharjah.gov.ae/
UAE-0277,United Arab Emirates,Sharjah,Sharjah City Region,Sharjah,Industrial Area 12,industrial zone,Industrial Areas,industrial-area-12-sharjah,https://www.sharjah.gov.ae/
UAE-0278,United Arab Emirates,Sharjah,Sharjah City Region,Sharjah,Industrial Area 13,industrial zone,Industrial Areas,industrial-area-13-sharjah,https://www.sharjah.gov.ae/
UAE-0279,United Arab Emirates,Sharjah,Sharjah City Region,Sharjah,Industrial Area 14,industrial zone,Industrial Areas,industrial-area-14-sharjah,https://www.sharjah.gov.ae/
UAE-0280,United Arab Emirates,Sharjah,Sharjah City Region,Sharjah,Industrial Area 15,industrial zone,Industrial Areas,industrial-area-15-sharjah,https://www.sharjah.gov.ae/
UAE-0281,United Arab Emirates,Sharjah,Sharjah City Region,Sharjah,Industrial Area 16,industrial zone,Industrial Areas,industrial-area-16-sharjah,https://www.sharjah.gov.ae/
UAE-0282,United Arab Emirates,Sharjah,Sharjah City Region,Sharjah,Industrial Area 17,industrial zone,Industrial Areas,industrial-area-17-sharjah,https://www.sharjah.gov.ae/
UAE-0283,United Arab Emirates,Sharjah,Sharjah City Region,Sharjah,Industrial Area 18,industrial zone,Industrial Areas,industrial-area-18-sharjah,https://www.sharjah.gov.ae/
UAE-0284,United Arab Emirates,Sharjah,Eastern & Central Region,Khor Fakkan,Khor Fakkan,city,,khor-fakkan-sharjah,https://www.sharjah.gov.ae/
UAE-0285,United Arab Emirates,Sharjah,Eastern & Central Region,Khor Fakkan,Khor Fakkan Corniche,waterfront district,,khor-fakkan-corniche-sharjah,https://www.sharjah.gov.ae/
UAE-0286,United Arab Emirates,Sharjah,Eastern & Central Region,Khor Fakkan,Al Zubara,district,,al-zubara-sharjah,https://www.sharjah.gov.ae/
UAE-0287,United Arab Emirates,Sharjah,Eastern & Central Region,Khor Fakkan,Al Haray,district,,al-haray-sharjah,https://www.sharjah.gov.ae/
UAE-0288,United Arab Emirates,Sharjah,Eastern & Central Region,Kalba,Kalba,city,,kalba-sharjah,https://www.sharjah.gov.ae/
UAE-0289,United Arab Emirates,Sharjah,Eastern & Central Region,Kalba,Kalba Corniche,waterfront district,,kalba-corniche-sharjah,https://www.sharjah.gov.ae/
UAE-0290,United Arab Emirates,Sharjah,Eastern & Central Region,Kalba,Sur Kalba,historic district,,sur-kalba-sharjah,https://www.sharjah.gov.ae/
UAE-0291,United Arab Emirates,Sharjah,Eastern & Central Region,Dibba Al Hisn,Dibba Al Hisn,town,,dibba-al-hisn-sharjah,https://www.sharjah.gov.ae/
UAE-0292,United Arab Emirates,Sharjah,Eastern & Central Region,Dibba Al Hisn,Dibba Al Hisn Fort Area,historic district,,dibba-al-hisn-fort-area-sharjah,https://www.sharjah.gov.ae/
UAE-0293,United Arab Emirates,Sharjah,Eastern & Central Region,Al Dhaid,Al Dhaid,town,,al-dhaid-sharjah,https://www.sharjah.gov.ae/
UAE-0294,United Arab Emirates,Sharjah,Eastern & Central Region,Mleiha,Mleiha,town,,mleiha-sharjah,https://www.sharjah.gov.ae/
UAE-0295,United Arab Emirates,Sharjah,Eastern & Central Region,Hamriyah,Hamriyah,industrial/coastal area,,hamriyah-sharjah,https://www.sharjah.gov.ae/
UAE-0296,United Arab Emirates,Sharjah,Eastern & Central Region,Al Madam,Al Madam,town,,al-madam-sharjah,https://www.sharjah.gov.ae/
UAE-0297,United Arab Emirates,Sharjah,Eastern & Central Region,Al Bataeh,Al Bataeh,town,,al-bataeh-sharjah,https://www.sharjah.gov.ae/
UAE-0298,United Arab Emirates,Ajman,Ajman City Region,Ajman,Ajman City,city,,ajman-city-ajman,https://www.ajman.ae/en/about-ajman
UAE-0299,United Arab Emirates,Ajman,Ajman City Region,Ajman,Al Nuaimiya 1,district,Al Nuaimiya,al-nuaimiya-1-ajman,https://www.ajman.ae/en/about-ajman
UAE-0300,United Arab Emirates,Ajman,Ajman City Region,Ajman,Al Nuaimiya 2,district,Al Nuaimiya,al-nuaimiya-2-ajman,https://www.ajman.ae/en/about-ajman
UAE-0301,United Arab Emirates,Ajman,Ajman City Region,Ajman,Al Nuaimiya 3,district,Al Nuaimiya,al-nuaimiya-3-ajman,https://www.ajman.ae/en/about-ajman
UAE-0302,United Arab Emirates,Ajman,Ajman City Region,Ajman,Al Rashidiya 1,district,Al Rashidiya,al-rashidiya-1-ajman,https://www.ajman.ae/en/about-ajman
UAE-0303,United Arab Emirates,Ajman,Ajman City Region,Ajman,Al Rashidiya 2,district,Al Rashidiya,al-rashidiya-2-ajman,https://www.ajman.ae/en/about-ajman
UAE-0304,United Arab Emirates,Ajman,Ajman City Region,Ajman,Al Rashidiya 3,district,Al Rashidiya,al-rashidiya-3-ajman,https://www.ajman.ae/en/about-ajman
UAE-0305,United Arab Emirates,Ajman,Ajman City Region,Ajman,Al Jurf 1,district,Al Jurf,al-jurf-1-ajman,https://www.ajman.ae/en/about-ajman
UAE-0306,United Arab Emirates,Ajman,Ajman City Region,Ajman,Al Jurf 2,district,Al Jurf,al-jurf-2-ajman,https://www.ajman.ae/en/about-ajman
UAE-0307,United Arab Emirates,Ajman,Ajman City Region,Ajman,Al Jurf 3,district,Al Jurf,al-jurf-3-ajman,https://www.ajman.ae/en/about-ajman
UAE-0308,United Arab Emirates,Ajman,Ajman City Region,Ajman,Ajman Industrial 1,industrial zone,Ajman Industrial,ajman-industrial-1-ajman,https://www.ajman.ae/en/about-ajman
UAE-0309,United Arab Emirates,Ajman,Ajman City Region,Ajman,Ajman Industrial 2,industrial zone,Ajman Industrial,ajman-industrial-2-ajman,https://www.ajman.ae/en/about-ajman
UAE-0310,United Arab Emirates,Ajman,Ajman City Region,Ajman,Ajman Industrial 3,industrial zone,Ajman Industrial,ajman-industrial-3-ajman,https://www.ajman.ae/en/about-ajman
UAE-0311,United Arab Emirates,Ajman,Ajman City Region,Ajman,Al Rawda 1,district,Al Rawda,al-rawda-1-ajman,https://www.ajman.ae/en/about-ajman
UAE-0312,United Arab Emirates,Ajman,Ajman City Region,Ajman,Al Rawda 2,district,Al Rawda,al-rawda-2-ajman,https://www.ajman.ae/en/about-ajman
UAE-0313,United Arab Emirates,Ajman,Ajman City Region,Ajman,Al Rawda 3,district,Al Rawda,al-rawda-3-ajman,https://www.ajman.ae/en/about-ajman
UAE-0314,United Arab Emirates,Ajman,Ajman City Region,Ajman,Al Mowaihat 1,district,Al Mowaihat,al-mowaihat-1-ajman,https://www.ajman.ae/en/about-ajman
UAE-0315,United Arab Emirates,Ajman,Ajman City Region,Ajman,Al Mowaihat 2,district,Al Mowaihat,al-mowaihat-2-ajman,https://www.ajman.ae/en/about-ajman
UAE-0316,United Arab Emirates,Ajman,Ajman City Region,Ajman,Al Mowaihat 3,district,Al Mowaihat,al-mowaihat-3-ajman,https://www.ajman.ae/en/about-ajman
UAE-0317,United Arab Emirates,Ajman,Ajman City Region,Ajman,Al Tallah 1,district,Al Tallah,al-tallah-1-ajman,https://www.ajman.ae/en/about-ajman
UAE-0318,United Arab Emirates,Ajman,Ajman City Region,Ajman,Al Tallah 2,district,Al Tallah,al-tallah-2-ajman,https://www.ajman.ae/en/about-ajman
UAE-0319,United Arab Emirates,Ajman,Ajman City Region,Ajman,Al Zahra,district,,al-zahra-ajman,https://www.ajman.ae/en/about-ajman
UAE-0320,United Arab Emirates,Ajman,Ajman City Region,Ajman,Al Rumailah 1,district,Al Rumailah,al-rumailah-1-ajman,https://www.ajman.ae/en/about-ajman
UAE-0321,United Arab Emirates,Ajman,Ajman City Region,Ajman,Al Rumailah 2,district,Al Rumailah,al-rumailah-2-ajman,https://www.ajman.ae/en/about-ajman
UAE-0322,United Arab Emirates,Ajman,Ajman City Region,Ajman,Al Bustan,district,,al-bustan-ajman,https://www.ajman.ae/en/about-ajman
UAE-0323,United Arab Emirates,Ajman,Ajman City Region,Ajman,Al Hamidiyah,district,,al-hamidiyah-ajman,https://www.ajman.ae/en/about-ajman
UAE-0324,United Arab Emirates,Ajman,Ajman City Region,Ajman,Al Bahia,district,,al-bahia-ajman,https://www.ajman.ae/en/about-ajman
UAE-0325,United Arab Emirates,Ajman,Ajman City Region,Ajman,Al Helio 1,district,Al Helio,al-helio-1-ajman,https://www.ajman.ae/en/about-ajman
UAE-0326,United Arab Emirates,Ajman,Ajman City Region,Ajman,Al Helio 2,district,Al Helio,al-helio-2-ajman,https://www.ajman.ae/en/about-ajman
UAE-0327,United Arab Emirates,Ajman,Ajman City Region,Ajman,Al Alia,district,,al-alia-ajman,https://www.ajman.ae/en/about-ajman
UAE-0328,United Arab Emirates,Ajman,Ajman City Region,Ajman,Al Ameera Village,residential community,,al-ameera-village-ajman,https://www.ajman.ae/en/about-ajman
UAE-0329,United Arab Emirates,Ajman,Ajman City Region,Ajman,Emirates City,master community,,emirates-city-ajman,https://www.ajman.ae/en/about-ajman
UAE-0330,United Arab Emirates,Ajman,Ajman City Region,Ajman,Garden City,residential community,,garden-city-ajman,https://www.ajman.ae/en/about-ajman
UAE-0331,United Arab Emirates,Ajman,Ajman City Region,Ajman,Al Zorah,coastal master community,,al-zorah-ajman,https://www.ajman.ae/en/about-ajman
UAE-0332,United Arab Emirates,Ajman,Masfout & Manama Region,Masfout,Masfout,town,,masfout-ajman,https://www.ajman.ae/en/about-ajman
UAE-0333,United Arab Emirates,Ajman,Masfout & Manama Region,Masfout,Masfout Industrial Area,industrial zone,,masfout-industrial-area-ajman,https://www.ajman.ae/en/about-ajman
UAE-0334,United Arab Emirates,Ajman,Masfout & Manama Region,Manama,Manama,town,,manama-ajman,https://www.ajman.ae/en/about-ajman
UAE-0335,United Arab Emirates,Ras Al Khaimah,RAK City & Coastal Region,Ras Al Khaimah,Ras Al Khaimah City,city,,ras-al-khaimah-city-ras-al-khaimah,https://stg.rak.ae/wps/portal/portalrevamp
UAE-0336,United Arab Emirates,Ras Al Khaimah,RAK City & Coastal Region,Ras Al Khaimah,Al Nakheel,district,,al-nakheel-ras-al-khaimah,https://stg.rak.ae/wps/portal/portalrevamp
